"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2025";"0000";"16,3";"17,3";"16,0";"";"";"";"";"";"";"907,3";"907,3";"906,5";"2,9";"116,0";"12,1";"0,40";"14,4"
"01/01/2025";"0100";"16,6";"16,9";"16,3";"";"";"";"";"";"";"907,1";"907,6";"907,1";"1,4";"80,0";"6,0";"";"0,0"
"01/01/2025";"0200";"16,4";"16,6";"16,1";"";"";"";"";"";"";"906,7";"907,1";"906,7";"1,1";"1,0";"3,4";"";"0,0"
"01/01/2025";"0300";"16,5";"16,5";"15,9";"";"";"";"";"";"";"906,8";"906,9";"906,7";"2,0";"82,0";"3,3";"";"0,0"
"01/01/2025";"0400";"17,2";"17,3";"16,2";"";"";"";"";"";"";"906,6";"906,8";"906,4";"3,3";"67,0";"6,5";"0,30";"0,0"
"01/01/2025";"0500";"17,7";"17,7";"17,1";"";"";"";"";"";"";"905,9";"906,6";"905,9";"3,1";"84,0";"5,6";"0,30";"0,0"
"01/01/2025";"0600";"18,0";"18,0";"17,7";"";"";"";"";"";"";"905,7";"905,9";"905,7";"3,2";"35,0";"5,8";"1,40";"0,0"
"01/01/2025";"0700";"17,8";"18,0";"17,8";"";"";"";"";"";"";"905,8";"905,8";"905,7";"2,9";"50,0";"5,1";"0,10";"0,0"
"01/01/2025";"0800";"17,9";"18,0";"17,8";"";"";"";"";"";"";"906,2";"906,2";"905,8";"3,0";"61,0";"6,1";"";"0,0"
"01/01/2025";"0900";"18,0";"18,0";"17,8";"";"";"";"";"";"";"906,8";"906,8";"906,2";"3,0";"54,0";"6,2";"10,10";"0,0"
"01/01/2025";"1000";"18,6";"18,6";"18,0";"";"";"";"";"";"";"907,3";"907,3";"906,7";"3,4";"63,0";"5,0";"261,50";"0,0"
"01/01/2025";"1100";"20,2";"20,2";"18,6";"98,0";"";"";"19,8";"";"";"907,7";"907,7";"907,3";"5,0";"45,0";"8,0";"803,50";"0,0"
"01/01/2025";"1200";"21,2";"21,4";"19,5";"81,0";"";"80,0";"17,8";"20,1";"17,6";"907,9";"908,0";"907,7";"4,2";"55,0";"8,0";"2031,60";"0,0"
"01/01/2025";"1300";"22,3";"23,0";"20,8";"72,0";"84,0";"71,0";"17,0";"18,9";"17,0";"907,9";"907,9";"907,7";"3,7";"34,0";"7,2";"2268,20";"0,0"
"01/01/2025";"1400";"22,7";"23,4";"22,2";"74,0";"76,0";"70,0";"17,8";"18,5";"16,8";"907,7";"907,9";"907,6";"4,3";"44,0";"6,9";"2222,30";"0,0"
"01/01/2025";"1500";"24,2";"24,9";"22,7";"65,0";"75,0";"64,0";"17,1";"19,8";"17,1";"907,0";"907,7";"907,0";"4,1";"33,0";"6,9";"2997,10";"0,0"
"01/01/2025";"1600";"24,8";"26,1";"23,8";"64,0";"71,0";"60,0";"17,5";"19,8";"16,5";"906,0";"907,0";"906,0";"3,6";"65,0";"7,2";"3195,00";"0,0"
"01/01/2025";"1700";"25,1";"26,1";"24,8";"63,0";"66,0";"58,0";"17,5";"18,7";"16,8";"905,1";"906,0";"905,1";"4,4";"44,0";"7,8";"2385,20";"0,0"
"01/01/2025";"1800";"25,3";"26,7";"25,0";"63,0";"67,0";"60,0";"17,8";"18,9";"16,8";"904,5";"905,2";"904,4";"4,1";"37,0";"6,7";"1823,80";"0,0"
"01/01/2025";"1900";"23,8";"25,3";"23,7";"64,0";"67,0";"59,0";"16,6";"17,9";"16,5";"904,2";"904,5";"903,8";"3,0";"25,0";"6,7";"436,20";"0,0"
"01/01/2025";"2000";"20,2";"23,8";"19,9";"89,0";"94,0";"63,0";"18,4";"19,2";"16,1";"905,1";"905,1";"904,0";"2,4";"277,0";"13,8";"68,00";"3,4"
"01/01/2025";"2100";"18,8";"20,2";"18,7";"";"";"";"";"";"";"905,2";"905,6";"905,1";"2,8";"29,0";"4,3";"98,40";"0,0"
"01/01/2025";"2200";"18,9";"19,1";"18,5";"83,0";"";"80,0";"16,0";"18,8";"15,5";"904,5";"905,2";"904,2";"0,8";"183,0";"3,5";"95,40";"0,0"
"01/01/2025";"2300";"18,5";"19,3";"18,2";"";"";"81,0";"";"19,3";"15,9";"905,4";"905,4";"904,5";"0,5";"116,0";"1,7";"3,60";"0,0"
"02/01/2025";"0000";"18,6";"19,1";"18,2";"99,0";"";"";"18,5";"";"";"905,8";"905,8";"905,4";"2,2";"94,0";"6,9";"";"0,0"
"02/01/2025";"0100";"18,1";"18,6";"18,0";"89,0";"";"87,0";"16,3";"18,8";"16,2";"906,7";"906,7";"905,8";"3,1";"68,0";"5,7";"";"0,0"
"02/01/2025";"0200";"17,5";"18,1";"17,2";"94,0";"";"88,0";"16,5";"18,0";"15,5";"906,7";"907,0";"906,7";"2,3";"93,0";"5,2";"";"0,0"
"02/01/2025";"0300";"18,1";"18,2";"17,4";"";"";"";"";"";"";"906,6";"906,9";"906,5";"3,0";"71,0";"6,0";"";"0,0"
"02/01/2025";"0400";"17,2";"18,0";"17,2";"";"";"";"";"";"";"905,4";"906,6";"905,3";"3,1";"47,0";"5,4";"";"0,0"
"02/01/2025";"0500";"17,5";"17,6";"17,2";"";"";"";"";"";"";"905,2";"905,6";"905,1";"4,0";"60,0";"7,1";"";"0,0"
"02/01/2025";"0600";"17,7";"17,7";"17,5";"";"";"";"";"";"";"904,0";"905,2";"903,9";"2,4";"46,0";"6,0";"";"0,0"
"02/01/2025";"0700";"17,6";"17,8";"17,5";"";"";"";"";"";"";"903,7";"904,0";"903,7";"3,5";"45,0";"7,2";"";"0,0"
"02/01/2025";"0800";"17,2";"17,6";"17,1";"";"";"";"";"";"";"904,2";"904,3";"903,7";"2,6";"39,0";"5,5";"";"0,0"
"02/01/2025";"0900";"16,9";"17,2";"16,8";"";"";"";"";"";"";"904,5";"904,5";"904,1";"2,5";"48,0";"4,8";"54,00";"0,0"
"02/01/2025";"1000";"18,5";"18,8";"16,9";"";"";"";"";"";"";"904,7";"904,7";"904,4";"3,6";"76,0";"4,8";"508,00";"0,0"
"02/01/2025";"1100";"19,9";"20,0";"18,1";"88,0";"";"";"17,9";"";"";"905,3";"905,3";"904,6";"3,4";"23,0";"5,3";"763,30";"0,0"
"02/01/2025";"1200";"19,0";"19,9";"19,0";"89,0";"95,0";"83,0";"17,2";"18,1";"16,6";"905,4";"905,5";"905,1";"2,9";"106,0";"5,3";"467,20";"0,0"
"02/01/2025";"1300";"18,1";"19,0";"18,0";"";"";"";"";"";"";"906,6";"906,8";"905,4";"2,7";"251,0";"5,5";"153,80";"6,0"
"02/01/2025";"1400";"18,8";"18,8";"18,1";"";"";"";"";"";"";"905,3";"906,6";"905,3";"0,9";"229,0";"5,2";"435,60";"1,2"
"02/01/2025";"1500";"22,1";"22,2";"18,8";"78,0";"";"77,0";"18,2";"19,4";"16,6";"905,0";"905,3";"904,9";"1,5";"21,0";"3,1";"2275,20";"0,0"
"02/01/2025";"1600";"24,2";"24,4";"21,4";"72,0";"85,0";"68,0";"18,9";"19,6";"16,9";"904,0";"905,0";"904,0";"3,6";"293,0";"7,1";"3545,60";"0,0"
